| table_name                  | column_name                   | data_type                | is_nullable | column_default                                  | character_maximum_length |
| --------------------------- | ----------------------------- | ------------------------ | ----------- | ----------------------------------------------- | ------------------------ |
| activity_logs               | id                            | uuid                     | NO          | gen_random_uuid()                               | null                     |
| activity_logs               | level                         | text                     | NO          | null                                            | null                     |
| activity_logs               | message                       | text                     | NO          | null                                            | null                     |
| activity_logs               | user_id                       | uuid                     | YES         | null                                            | null                     |
| activity_logs               | created_at                    | timestamp with time zone | YES         | now()                                           | null                     |
| activity_logs               | metadata                      | jsonb                    | YES         | null                                            | null                     |
| approvals                   | id                            | uuid                     | NO          | gen_random_uuid()                               | null                     |
| approvals                   | report_id                     | uuid                     | NO          | null                                            | null                     |
| approvals                   | approver_id                   | uuid                     | NO          | null                                            | null                     |
| approvals                   | role                          | text                     | NO          | null                                            | null                     |
| approvals                   | status                        | text                     | NO          | null                                            | null                     |
| approvals                   | comment                       | text                     | YES         | null                                            | null                     |
| approvals                   | approved_at                   | timestamp with time zone | YES         | now()                                           | null                     |
| approvals                   | rejected_at                   | timestamp with time zone | YES         | null                                            | null                     |
| checklist_items             | id                            | text                     | NO          | null                                            | null                     |
| checklist_items             | template_id                   | text                     | NO          | null                                            | null                     |
| checklist_items             | template_title                | text                     | NO          | null                                            | null                     |
| checklist_items             | category                      | text                     | NO          | null                                            | null                     |
| checklist_items             | specialization                | text                     | YES         | null                                            | null                     |
| checklist_items             | applicable_for                | jsonb                    | YES         | null                                            | null                     |
| checklist_items             | item_name                     | text                     | NO          | null                                            | null                     |
| checklist_items             | columns                       | jsonb                    | NO          | null                                            | null                     |
| checklist_items             | created_at                    | timestamp with time zone | YES         | now()                                           | null                     |
| checklist_responses         | id                            | uuid                     | NO          | gen_random_uuid()                               | null                     |
| checklist_responses         | inspection_id                 | uuid                     | YES         | null                                            | null                     |
| checklist_responses         | item_id                       | text                     | NO          | null                                            | null                     |
| checklist_responses         | response                      | jsonb                    | NO          | null                                            | null                     |
| checklist_responses         | notes                         | text                     | YES         | null                                            | null                     |
| checklist_responses         | responded_by                  | uuid                     | YES         | null                                            | null                     |
| checklist_responses         | responded_at                  | timestamp with time zone | YES         | now()                                           | null                     |
| checklist_responses         | status                        | text                     | NO          | 'submitted'::text                               | null                     |
| checklist_responses         | created_at                    | timestamp with time zone | YES         | now()                                           | null                     |
| checklist_responses         | project_id                    | uuid                     | YES         | null                                            | null                     |
| checklist_responses         | photogeotag_data              | jsonb                    | YES         | null                                            | null                     |
| checklist_templates         | id                            | integer                  | NO          | nextval('checklist_templates_id_seq'::regclass) | null                     |
| checklist_templates         | name                          | text                     | NO          | null                                            | null                     |
| checklist_templates         | metadata                      | jsonb                    | YES         | null                                            | null                     |
| checklist_templates         | checklist_templates           | jsonb                    | YES         | null                                            | null                     |
| clients                     | id                            | uuid                     | NO          | gen_random_uuid()                               | null                     |
| clients                     | name                          | text                     | NO          | null                                            | null                     |
| clients                     | address                       | text                     | YES         | null                                            | null                     |
| clients                     | city                          | text                     | YES         | null                                            | null                     |
| clients                     | phone                         | text                     | YES         | null                                            | null                     |
| clients                     | email                         | text                     | YES         | null                                            | null                     |
| clients                     | created_at                    | timestamp with time zone | YES         | now()                                           | null                     |
| comments                    | id                            | bigint                   | NO          | null                                            | null                     |
| comments                    | content                       | text                     | NO          | null                                            | null                     |
| comments                    | author_id                     | uuid                     | YES         | null                                            | null                     |
| comments                    | project_id                    | uuid                     | YES         | null                                            | null                     |
| comments                    | inspection_id                 | uuid                     | YES         | null                                            | null                     |
| comments                    | created_at                    | timestamp with time zone | YES         | now()                                           | null                     |
| documents                   | id                            | uuid                     | NO          | gen_random_uuid()                               | null                     |
| documents                   | project_id                    | uuid                     | YES         | null                                            | null                     |
| documents                   | name                          | text                     | NO          | null                                            | null                     |
| documents                   | type                          | text                     | NO          | null                                            | null                     |
| documents                   | url                           | text                     | NO          | null                                            | null                     |
| documents                   | compliance_status             | text                     | YES         | null                                            | null                     |
| documents                   | created_by                    | uuid                     | YES         | null                                            | null                     |
| documents                   | status                        | text                     | NO          | 'generated'::text                               | null                     |
| documents                   | created_at                    | timestamp with time zone | YES         | now()                                           | null                     |
| inspection_comments         | id                            | uuid                     | NO          | uuid_generate_v4()                              | null                     |
| inspection_comments         | inspection_id                 | uuid                     | YES         | null                                            | null                     |
| inspection_comments         | user_id                       | uuid                     | YES         | null                                            | null                     |
| inspection_comments         | message                       | text                     | NO          | null                                            | null                     |
| inspection_comments         | created_at                    | timestamp with time zone | YES         | now()                                           | null                     |
| inspection_photos           | id                            | uuid                     | NO          | gen_random_uuid()                               | null                     |
| inspection_photos           | inspection_id                 | uuid                     | YES         | null                                            | null                     |
| inspection_photos           | checklist_item_id             | text                     | YES         | null                                            | null                     |
| inspection_photos           | photo_url                     | text                     | NO          | null                                            | null                     |
| inspection_photos           | caption                       | text                     | YES         | null                                            | null                     |
| inspection_photos           | floor_info                    | text                     | YES         | null                                            | null                     |
| inspection_photos           | latitude                      | double precision         | YES         | null                                            | null                     |
| inspection_photos           | longitude                     | double precision         | YES         | null                                            | null                     |
| inspection_photos           | uploaded_at                   | timestamp with time zone | YES         | now()                                           | null                     |
| inspection_photos           | uploaded_by                   | uuid                     | YES         | null                                            | null                     |
| inspection_photos           | project_id                    | uuid                     | YES         | null                                            | null                     |
| inspections                 | id                            | uuid                     | NO          | gen_random_uuid()                               | null                     |
| inspections                 | project_id                    | uuid                     | YES         | null                                            | null                     |
| inspections                 | inspector_id                  | uuid                     | YES         | null                                            | null                     |
| inspections                 | scheduled_date                | timestamp with time zone | NO          | null                                            | null                     |
| inspections                 | start_time                    | timestamp with time zone | YES         | null                                            | null                     |
| inspections                 | end_time                      | timestamp with time zone | YES         | null                                            | null                     |
